Nom,Prix,Carburant,Modèle,CV,KM,Ville
SSANGYONG Kyron,59.000 DH,Diesel,2008,8 cv,205.000 km,Casablanca
HYUNDAI Tucson,260.000 DH,Diesel,2018,6 cv,69.000 km,Mohammadia
OPEL Astra,115.000 DH,Diesel,2014,8 cv,200.000 km,Meknès
FORD C-Max,120.000 DH,Diesel,2010,7 cv,280.000 km,Fès
FORD C-Max,160.000 DH,Diesel,2020,6 cv,72.000 km,Rabat
NISSAN Qashqai,210.000 DH,Diesel,2018,6 cv,69.000 km,Casablanca
CITROEN C4 Cactus,127.000 DH,Diesel,2015,6 cv,165.000 km,Marrakech
AUDI A3 Sportback,10.000 DH,Diesel,2022,8 cv,60.000 km,Oujda
HYUNDAI Accent,120.000 DH,Diesel,2018,6 cv,105.000 km,Casablanca
AUDI A4,178.000 DH,Diesel,2014,8 cv,203.326 km,Marrakech
VOLVO S90,420.000 DH,Hybride rechargeable,2022,cv,48.000 km,Casablanca
VOLKSWAGEN Caddy,170.000 DH,Diesel,2020,8 cv,56.000 km,Rabat
FORD Fusion,162.000 DH,Diesel,2018,8 cv,119.000 km,Casablanca
LEXUS ES,560.000 DH,Hybride,2024,14 cv,1.000 km,Rabat
LAND ROVER Range Rover Evoque,300.000 DH,Diesel,2018,8 cv,118.000 km,Marrakech
HONDA CR-V,91.000 DH,Diesel,2007,8 cv,110.000 km,Rabat
VOLKSWAGEN Touareg,85.000 DH,Diesel,2010,12 cv,254.000 km,Temara
ABARTH 595,245.000 DH,Essence,2022,8 cv,17.000 km,Casablanca
LAND ROVER Range Rover Evoque Coupé,198.000 DH,Diesel,2012,9 cv,127.000 km,Casablanca
VOLKSWAGEN T-Roc,305.000 DH,Diesel,2021,8 cv,35.000 km,Casablanca
MINI Cooper 5 portes,188.000 DH,Essence,2018,9 cv,50.000 km,Casablanca
LAND ROVER Range Rover Evoque,475.000 DH,Diesel,2022,8 cv,12.000 km,Casablanca
MERCEDES Classe E Coupé,515.000 DH,Diesel,2020,8 cv,67.000 km,Casablanca
PORSCHE Cayenne,1.160.000 DH,Hybride,2022,11 cv,70.000 km,Casablanca
JEEP Wrangler,345.000 DH,Diesel,2018,11 cv,30.000 km,Casablanca
MERCEDES Classe A,405.000 DH,Hybride rechargeable,2021,8 cv,51.000 km,Tétouan
DFSK Glory IX5,270.000 DH,Essence,2022,cv,26.300 km,Casablanca
AUDI Q3 Sportback,730.000 DH,Diesel,2022,8 cv,70.000 km,Rabat
MERCEDES Classe E,235.000 DH,Diesel,2016,8 cv,210.000 km,Rabat
HYUNDAI i10,72.000 DH,Essence,2009,6 cv,89.300 km,Casablanca
VOLKSWAGEN Tiguan,545.000 DH,Essence,2022,8 cv,28.000 km,Casablanca
AUDI Q3,720.000 DH,Diesel,2022,cv,70.000 km,Rabat
RENAULT Kangoo,100.000 DH,Diesel,2017,6 cv,104.000 km,Casablanca
SEAT Leon,155.000 DH,Diesel,2018,6 cv,181.000 km,Tanger
FORD Fusion 5p,65.000 DH,Essence,2011,6 cv,72.000 km,Casablanca
OPEL Astra,118.000 DH,Diesel,2014,7 cv,159.000 km,Marrakech
PORSCHE Panamera,1.100.000 DH,Hybride rechargeable,2022,17 cv,28.000 km,Rabat
HONDA Accord,190.000 DH,Essence,2017,9 cv,178.000 km,Casablanca
VOLKSWAGEN Passat,175.000 DH,Diesel,2015,6 cv,301.000 km,Laayoune
KIA Sportage,165.000 DH,Diesel,2016,7 cv,320.000 km,El Jadida
VOLKSWAGEN Touran,120.000 DH,Diesel,2012,8 cv,395.000 km,Casablanca
NISSAN Qashqai,160.000 DH,Diesel,2015,6 cv,100.000 km,Fès
VOLKSWAGEN CC,215.000 DH,Diesel,2014,8 cv,196.000 km,Casablanca
NISSAN Qashqai,240.000 DH  VENDUE,Diesel,2021,6 cv,64.000 km,Casablanca
SKODA Octavia,310.000 DH,Diesel,2023,8 cv,27.000 km,Marrakech
VOLKSWAGEN Polo,102.000 DH,Essence,2015,6 cv,61.000 km,Tanger
SKODA Kamiq,230.000 DH,Diesel,2024,6 cv,40.000 km,Marrakech
DACIA Duster,188.000 DH,Diesel,2018,6 cv,65.000 km,Skhirate
CITROEN C4 Cactus,163.000 DH,Diesel,2021,6 cv,65.000 km,Rabat
VOLKSWAGEN Touareg,270.000 DH  VENDUE,Diesel,2018,12 cv,59.000 km,Casablanca
MITSUBISHI L 200,160.000 DH,Diesel,2024,cv,170.000 km,Meknès
VOLKSWAGEN Golf,140.000 DH,Diesel,2012,7 cv,190.000 km,Tanger
AUDI Q8,700.000 DH,Diesel,2019,12 cv,108.000 km,Rabat
HONDA Civic,65.000 DH,Essence,2024,8 cv,252.000 km,Rabat
MINI Cooper 3 portes,247.000 DH,Essence,2021,9 cv,32.151 km,Tanger
HYUNDAI Accent,75.000 DH,Diesel,2012,6 cv,323.000 km,Casablanca
VOLKSWAGEN Tiguan,324.000 DH,Diesel,2018,8 cv,65.000 km,Casablanca
NISSAN Qashqai,244.000 DH,Diesel,2021,6 cv,34.000 km,Tanger
OPEL Astra Berline,145.000 DH  VENDUE,Diesel,2019,6 cv,30.755 km,Settat
RENAULT Kangoo,120.000 DH,Diesel,2016,6 cv,161.000 km,Meknès
AUDI A5 Coupé,325.000 DH,Diesel,2019,8 cv,120.000 km,Casablanca
HYUNDAI Tucson,260.000 DH,Diesel,2021,6 cv,62.100 km,Kénitra
JEEP Wrangler,245.000 DH,Diesel,2015,11 cv,100.000 km,Rabat
VOLKSWAGEN Tiguan,295.000 DH,Diesel,2019,8 cv,210.000 km,Rabat
RENAULT Captur,168.000 DH,Diesel,2021,6 cv,69.000 km,Rabat
CITROEN C3,148.000 DH,Diesel,2021,6 cv,51.000 km,Casablanca
CITROEN C3,115.000 DH,Diesel,2017,6 cv,94.500 km,Agadir
BMW Série 5,360.000 DH,Diesel,2018,8 cv,64.000 km,Casablanca
RENAULT Clio,165.000 DH,Diesel,2020,6 cv,24.000 km,Casablanca
DODGE Avenger.,70.000 DH,Diesel,2010,8 cv,170.000 km,Casablanca
BMW X3,238.000 DH  VENDUE,Diesel,2016,8 cv,100.000 km,Casablanca
PEUGEOT Rifter,143.000 DH,Diesel,2021,6 cv,90.000 km,Rabat
FIAT 500,127.000 DH,Essence,2022,6 cv,60.000 km,Rabat
VOLKSWAGEN Caddy,165.000 DH,Diesel,2020,8 cv,95.000 km,Rabat
FORD Kuga,230.000 DH,Diesel,2019,8 cv,116.000 km,Casablanca
VOLKSWAGEN Tiguan,265.000 DH,Diesel,2019,8 cv,100.000 km,Casablanca
MERCEDES Classe E,700.000 DH,Diesel,2022,8 cv,27.000 km,Casablanca
AUDI Q8,790.000 DH,Diesel,2020,12 cv,95.000 km,Casablanca
MAHINDRA KUV 100,98.000 DH,Diesel,2022,5 cv,30.000 km,Casablanca
PEUGEOT 108,93.000 DH,Essence,2019,6 cv,24.700 km,Mohammadia
FORD Focus,140.000 DH,Diesel,2015,6 cv,163.000 km,Casablanca
FORD Focus,155.000 DH  VENDUE,Diesel,2017,6 cv,130.000 km,El Jadida
MERCEDES Classe C,310.000 DH,Diesel,2015,8 cv,57.000 km,Casablanca
JEEP Wrangler,485.000 DH,Diesel,2021,9 cv,52.000 km,Casablanca
AUDI Q8,1.210.000 DH,Diesel,2023,12 cv,18.000 km,Casablanca
FORD Focus,265.000 DH,Essence,2024,11 cv,16.000 km,Casablanca
FORD Focus,140.000 DH,Diesel,2013,6 cv,175.000 km,Casablanca
BMW X3,185.000 DH,Diesel,2015,8 cv,190.000 km,El Jadida
BMW Z4,230.000 DH  VENDUE,Essence,2011,14 cv,84.000 km,Casablanca
SEAT Arona,175.000 DH,Diesel,2021,6 cv,75.000 km,Mohammadia
FORD Focus,120.000 DH,Diesel,2016,6 cv,300.000 km,Laayoune
OPEL Corsa,52.000 DH,Diesel,2008,7 cv,189.999 km,Casablanca
RENAULT Clio,132.000 DH,Diesel,2016,6 cv,41.000 km,Casablanca
NISSAN Qashqai,200.000 DH  VENDUE,Diesel,2019,6 cv,150.000 km,Temara
LAND ROVER Range Rover Evoque,258.000 DH,Diesel,2024,cv,99.500 km,Fès
MERCEDES Classe E Coupé,640.000 DH,Diesel,2023,8 cv,24.000 km,Rabat
AUDI Q3,780.000 DH,Essence,2023,14 cv,27.000 km,Rabat
VOLKSWAGEN Tiguan,300.000 DH,Diesel,2020,8 cv,150.000 km,Casablanca
